序號,餐廳類別,餐廳名稱,餐廳電話,分機,手機號碼,餐廳地址,額外環保作為
198,環保餐廳,老舅的家鄉味,(02)27181122,,,臺北市松山區復興北路307號,環境管理
199,環保餐廳,老董(微風．三總商店街),(02)87923311#1,10019,,臺北市內湖區成功路二段325號B1樓,環境管理
200,環保餐廳,老董牛肉麵(微風台大醫院商場),(02)23952298#8,8125,,臺北市中正區中山南路77號B1F,"環境管理, 環境教育"
201,環保餐廳,西雅圖極品咖啡(北榮美食街),(02)28760276,,,臺北市北投區石牌路二段201號生活廣場,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
202,環保餐廳,西雅圖極品咖啡(微風．三總商店街),(02)87923311#1,10011,,臺北市內湖區成功路二段325號B1樓,環境管理
203,環保餐廳,吾家可歸朝食販賣部,(02)27599075,,,臺北市信義區大道路42巷21號,"環境管理, 綠色採購, 源頭減量"
204,環保餐廳,李記中式餐廳(微風．三總商店街),(02)87923311#1,10020,,臺北市內湖區成功路二段325號B1樓,環境管理
205,環保餐廳,李記港式燒臘,(02)82872296,,,臺北市中正區台北市中正區中山南路8號B1,環境管理
206,環保餐廳,沙渡垂陽碳烤(錦州店),,,903763566,臺北市中山區錦州街241巷1弄20號,"環境管理, 綠色採購, 源頭減量"
207,環保餐廳,芋品苑．先森吃麵,(02)87333373,,,臺北市信義區吳興街26號一樓,"環境管理, 源頭減量, 惜食(善用食材), 環境教育, 8"
208,環保餐廳,谷炭燒肉(市民店),(02)27119500,,,臺北市大安區市民大道四段12之2號,"環境管理, 綠色採購, 源頭減量"
209,環保餐廳,味?屋,(02)28283230,,,臺北市北投區實踐街67號,"源頭減量, 惜食(善用食材), 環境教育"
210,環保餐廳,咖食堂,(02)23965252,,,臺北市中正區八德路1段82巷9弄13號,"環境管理, 綠色採購, 環境教育"
211,環保餐廳,咖啡弄(士林店),(02)28883322,,,臺北市士林區台北市士林區中正路253號2樓,環境管理
212,環保餐廳,咖啡弄(站前店),(02)23883000,,,臺北市中正區館前路18號2樓,環境管理
213,環保餐廳,咖啡弄(敦化店),(02)27111910,,,臺北市大安區台北市大安區敦化南路一段187巷42號2樓,環境管理
214,環保餐廳,呷米蔬食 / 素食餐廳 Rice revolution vegetarian restaurant,(02)23319662,,,臺北市中正區衡陽路9號,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
215,環保餐廳,幸福時光廚房,(02)23930255,,,臺北市中正區台北市中正區濟南路一段321號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
216,環保餐廳,幸福道小籠包(微風台大醫院商場),(02)23952298#8,8127,,臺北市中正區中山南路77號B1F,"環境管理, 環境教育"
217,環保餐廳,府宴餐廳,(02)27588950,,,臺北市信義區市府路1號B1,環境管理
218,環保餐廳,怡來養生食舖(微風．三總商店街),(02)87923311#1,10648,,臺北市內湖區成功路二段325號B1樓,環境管理
219,環保餐廳,房間餐酒 The Room Bistro,(02)27731665,,,臺北市大安區敦化南路一段160巷56號,"環境管理, 源頭減量"
220,環保餐廳,明德素食園(北榮美食街),(02)28739465,,,臺北市北投區石牌路二段201號生活廣場,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
221,環保餐廳,明德素食園(微風．三總商店街),(02)87923311#1,10024,,臺北市內湖區成功路二段325號B1樓,環境管理
222,環保餐廳,明德素食園(微風台大醫院商場),(02)23952298#8,8117,,臺北市中正區中山南路77號B1F,"環境管理, 環境教育"
223,環保餐廳,杭州小籠湯包-民生店,(02)66130666,,,臺北市松山區民生東路三段118號,"環境管理, 綠色採購, 惜食(善用食材), 環境教育"
224,環保餐廳,東方饌黔天下(迪化),(02)25577872,,,臺北市大同區迪化街一段358-2號,環境管理
225,環保餐廳,欣豐自助餐(微風台大醫院商場),(02)23952298#8,8144,,臺北市中正區中山南路77號B1F,"環境管理, 環境教育"
226,環保餐廳,爭鮮迴轉壽司,(02)23812806,,,臺北市萬華區台北市萬華區桂林路1號1樓,環境管理
227,環保餐廳,芽米早午餐(木柵店),(02)29393166,,,臺北市文山區秀明路二段16號,"環境管理, 綠色採購, 環境教育"
228,環保餐廳,花蓮扁食(微風．三總商店街),(02)87923311#1,10607,,臺北市內湖區成功路二段325號B1樓,環境管理
229,環保餐廳,花蓮扁食(微風台大醫院商場),(02)23952298#8,8119,,臺北市中正區中山南路77號B1F,"環境管理, 環境教育"
230,環保餐廳,初點良食 Dim sum shop,,,989436972,臺北市中山區龍江路394巷2號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材)"
231,環保餐廳,金色三麥 UMAMI微風南山店,(02)27291229,,,臺北市信義區台北市信義區松智路17號7樓,"環境管理, 綠色採購, 源頭減量"
232,環保餐廳,金色三麥 台北京站店,(02)77370909,,,臺北市大同區台北市大同區承德路1段1號4樓,"環境管理, 綠色採購, 源頭減量"
233,環保餐廳,金色三麥 台北美麗華店,(02)21753739,,,臺北市中山區台北市中山區敬業3路20號5樓,"環境管理, 綠色採購, 源頭減量"
234,環保餐廳,金色三麥 信義誠品店,(02)87895911,,,臺北市信義區台北市信義區松高路11號B1,"環境管理, 綠色採購, 源頭減量"
235,環保餐廳,金色三麥南港CITYLINK店,(02)27827000,,,臺北市南港區台北市南港區忠孝東路七段299號C棟1樓,"環境管理, 綠色採購, 源頭減量"
236,環保餐廳,金春發牛肉店(昆陽店),(02)26538189,,,臺北市南港區忠孝東路六段372號,"環境管理, 綠色採購"
237,環保餐廳,金春發牛肉店(復北店),(02)25026806,,,臺北市中山區復興北路202號,"環境管理, 綠色採購"
238,環保餐廳,金澤美味壽司 (忠孝SOGO店),(02)87717770,,,臺北市大安區忠孝東路四段45號11F,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(善用食材), 環境教育"
239,環保餐廳,阿瑪迪斯咖啡館,(02)87728679,,,臺北市大安區忠孝東路三段300號10樓,"環境管理, 源頭減量, 惜食(善用食材)"
240,環保餐廳,青青食尚花園會館,(02)28411996#3,309,,臺北市士林區至善路二段266巷32號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育, 8"
241,環保餐廳,非常泰（天母sogo 店）,(02)28310188,,,臺北市士林區中山北路六段77號8樓,"環境管理, 源頭減量"
242,環保餐廳,侯黑鍋物 酸菜小火鍋 Ho Hey Hot Pot,(02)25677889,,,臺北市中山區四平街19號,"環境管理, 綠色採購"
243,環保餐廳,恬園餐廳,(02)77122323#2,2110,,臺北市大安區新生南路三段30號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
244,環保餐廳,星巴克,(02)23616931,,,臺北市萬華區台北市萬華區桂林路1號,環境管理
245,環保餐廳,星辰牛排,(02)27217512,,,臺北市大安區光復南路180巷16號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材)"
246,環保餐廳,洪祖師擔仔麵(北榮美食街),,,920283013,臺北市北投區石牌路二段201號生活廣場,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
247,環保餐廳,洗心壽司割烹,,,981295295,臺北市大安區敦化南路一段295巷9號,惜食(善用食材)
248,環保餐廳,炸雞大獅,(02)23813607,,,臺北市萬華區台北市萬華區桂林路1號,環境管理
249,環保餐廳,珍珠?子喫茶屋,(02)27973972,,,臺北市內湖區內湖路二段103巷38號,"環境管理, 綠色採購, 惜食(善用食材), 環境教育"
250,環保餐廳,皇家哥本哈根咖啡輕食複合店 (忠孝SOGO店),(02)27113362,,,臺北市大安區忠孝東路四段45號4F,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
251,環保餐廳,皇家傳承(北榮美食街),(02)28747328,,,臺北市北投區石牌路二段201號生活廣場,"環境管理, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
252,環保餐廳,紅瓦厝懷舊風味餐坊,(02)28767407,,,臺北市士林區天母東路8巷67號,--
253,環保餐廳,紅豆食府,(02)87715511,,,臺北市大安區敦化南路一段246號B2,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
254,環保餐廳,紅豆食府(天母SOGO店),(02)28332208,,,臺北市士林區中山北路六段77號8F,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
255,環保餐廳,紅豆食府(北榮美食街),(02)28713068,,,臺北市北投區石牌路二段201號生活廣場,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
256,環保餐廳,紅花鐵板燒(復興SOGO店),(02)27316555,,,臺北市大安區忠孝東路三段300號10樓,--
257,環保餐廳,美術系壽司(台北大安店),(02)27017989,,,臺北市大安區仁愛路四段300巷9弄4號,"環境管理, 綠色採購"
258,環保餐廳,美華閣湯包麵食館,(02)28977288,,,臺北市北投區大興街58號,環境管理
259,環保餐廳,美樂家速食坊,(02)23111298,,,臺北市中正區常德街1號B1,"環境管理, 惜食(善用食材), 環境教育"
260,環保餐廳,風尚咖啡廳,(02)88122323#2,2021,,臺北市大安區新生南路3段30號B1,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
261,環保餐廳,食光/此拾此客,(02)23147302,,,臺北市萬華區昆明街214號,環境管理
262,環保餐廳,宮保王食品有限公司,(02)26519947,,,臺北市南港區南港路三段149巷49弄12號,"環境管理, 惜食(善用食材), 環境教育"
263,環保餐廳,島津和牛咖哩 (民生店),(02)27171007,,,臺北市松山區民生東路四段97巷1弄2號,環境管理
264,環保餐廳,徐州路2號庭園會館,(02)23928888,,,臺北市中正區徐州路2號,"環境管理, 源頭減量, 惜食(善用食材)"
265,環保餐廳,捌伍添第,(02)81010085,,,臺北市信義區信義路五段7號85號樓B側,"環境管理, 綠色採購, 源頭減量"
266,環保餐廳,書屋花甲(台大店),(02)23680824,,,臺北市大安區羅斯福路三段283巷20號1樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
267,環保餐廳,泰迪農園咖哩,(02)87726099,,,臺北市大安區忠孝東路三段300號7樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
268,環保餐廳,海底撈,(02)23146868,,,臺北市萬華區台北市萬華區桂林路1號4樓,環境管理
269,環保餐廳,海底撈火鍋,(02)87801855,,,臺北市信義區松智路17號2B,"環境管理, 惜食(善用食材)"
270,環保餐廳,烤肉工廠,(02)87717345,,,臺北市大安區忠孝東路四段216巷27弄2號,"源頭減量, 惜食(善用食材), 環境教育"
271,環保餐廳,真飽餐盒,(02)27720506,,,臺北市大安區延吉街70巷6弄3號,環境管理
272,環保餐廳,神樂家（忠孝SOGO店）,(02)89785666,,,臺北市大安區忠孝東路四段45號11樓,"環境管理, 綠色採購, 源頭減量, 環境教育"
273,環保餐廳,秘徑小食光,(02)33651995,,,臺北市大安區羅斯福路三段283巷3號,"環境管理, 源頭減量"
274,環保餐廳,財團法人福祿文化基金會北投文物館,(02)28912318#1,111,,臺北市北投區幽雅路32號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材)"
275,環保餐廳,鬥牛士(長安店),(02)27406660,,,臺北市中山區長安東路二段169之12號2樓,環境管理
276,環保餐廳,乾杯列車台北總站,(02)23618000,,,臺北市中正區北平西路3號2樓,"環境管理, 源頭減量"
277,環保餐廳,乾杯燒肉居酒屋 中山店,(02)25556110,,,臺北市大同區台北市大同區南京西路25巷2-1號,"環境管理, 源頭減量"
278,環保餐廳,乾杯燒肉居酒屋 本店,(02)87731150,,,臺北市大安區台北市大安區敦化南路一段236巷17號,"環境管理, 源頭減量"
279,環保餐廳,乾杯燒肉居酒屋 信義 ATT 店,(02)87860808,,,臺北市信義區台北市信義區松壽路12號3樓,"環境管理, 源頭減量"
280,環保餐廳,乾杯燒肉居酒屋 南港中信店,(02)27866066,,,臺北市南港區台北市南港區經貿二路186-1號2樓,"環境管理, 源頭減量"
281,環保餐廳,基督復臨安息日會醫療財團法人臺安醫院 嗎哪天然之味餐廳,(02)27718151#3,3120,,臺北市松山區八德路二段424號B1,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
282,環保餐廳,敘日全日餐廳,(02)66156526,,,臺北市南港區忠孝東路七段359號7樓,"環境管理, 環境教育"
283,環保餐廳,梅居休閒農場,,,963083276,臺北市士林區平菁街43巷99號,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
284,環保餐廳,涮乃葉-欣欣百貨店,(02)25416320,,,臺北市中山區台北市中山區林森北路247號2樓,"環境管理, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
285,環保餐廳,涮乃葉-信義遠百店,(02)27230698,,,臺北市信義區台北市信義區松仁路58號7樓,"環境管理, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
286,環保餐廳,涮乃葉-南港中信店,(02)26530155,,,臺北市南港區台北市南港區經貿二路188-1號2樓(中信總部C棟),"環境管理, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
287,環保餐廳,涮乃葉-統一時代市府店,(02)27230646,,,臺北市信義區台北市信義區忠孝東路5段8號3樓,"環境管理, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
288,環保餐廳,涮乃葉-寶慶遠百店,(02)23611258,,,臺北市中正區台北市中正區寶慶路32號6樓(遠東百貨6樓),"環境管理, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
289,環保餐廳,深紅鍋物,(02)87730035,,,臺北市大安區敦化南路一段246號B2,環境管理
290,環保餐廳,第一佳(微風台大醫院商場),(02)23952298#8,8111,,臺北市中正區中山南路77號B1F,"環境管理, 環境教育"
291,環保餐廳,第一銀行總行大樓員工餐廳,(02)23481520,,,臺北市中正區重慶南路一段30號21樓,"環境管理, 綠色採購, 惜食(善用食材), 環境教育"
292,環保餐廳,荷李活茶街 (忠孝SOGO店),(02)27780369,,,臺北市大安區忠孝東路四段45號2F,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
293,環保餐廳,莆田 (忠孝SOGO店),(02)87710767,,,臺北市大安區忠孝東路四段45號12F,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
294,環保餐廳,野橙咖啡,(02)27025522,,,臺北市大安區羅斯福路三段269巷6之1號,"環境管理, 綠色採購, 源頭減量"
295,環保餐廳,魚君 ????? 天母SOGO店,(02)88661170,,,臺北市士林區中山北路六段77號8樓,"環境管理, 綠色採購, 源頭減量, 環境教育"
296,環保餐廳,鳥作洋食,(02)27567966,,,臺北市信義區忠孝東路四段553巷16弄2號1樓,環境管理
297,環保餐廳,麥味登士林葫東,(02)28112112,,,臺北市士林區葫東街28-1號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
298,環保餐廳,麥味登大直北安羅伯,(02)85092968,,,臺北市中山區北安路595巷19號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
299,環保餐廳,麥味登內湖文湖,(02)87516996,,,臺北市內湖區文湖街49號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
300,環保餐廳,麥味登內湖光寶,,,979498491,臺北市內湖區瑞光路392號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
301,環保餐廳,麥味登內湖波士店,(02)26277311,,,臺北市內湖區內湖路一段411巷9弄4號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
302,環保餐廳,麥味登內湖星雲,(02)87920660,,,臺北市內湖區星雲街10號1F,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
303,環保餐廳,麥味登內湖園區,(02)26275822,,,臺北市內湖區內湖路一段323巷30號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
304,環保餐廳,麥味登內湖新明,(02)27960603,,,臺北市內湖區新明路198號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
305,環保餐廳,麥味登內湖新湖,(02)27956995,,,臺北市內湖區新湖三路118號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
306,環保餐廳,麥味登內湖葫洲,(02)26333323,,,臺北市內湖區民權東路六段296巷67號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
307,環保餐廳,麥味登內湖旗艦,(02)26272227,,,臺北市內湖區文德路90巷43號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
308,環保餐廳,麥味登內湖碧湖,(02)87916778,,,臺北市內湖區金龍路107號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
309,環保餐廳,麥味登天母士東,(02)28712828,,,臺北市士林區士東路71號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
310,環保餐廳,麥味登文山木星好運,(02)29360988,,,臺北市文山區木新路三段315號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
311,環保餐廳,麥味登文山木新,(02)29398080,,,臺北市文山區木新路二段277號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
312,環保餐廳,麥味登文山世新,(02)29350818,,,臺北市文山區景興路288號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
313,環保餐廳,麥味登文山辛亥,(02)29315015,,,臺北市文山區辛亥路五段5號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
314,環保餐廳,麥味登文山政大,(02)29381314,,,臺北市文山區萬壽路25巷3號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
315,環保餐廳,麥味登文山滬江,(02)29351157,,,臺北市文山區羅斯福路六段455巷21號1樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
316,環保餐廳,麥味登文山興隆,(02)29392619,,,臺北市文山區興隆路四段119號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
317,環保餐廳,麥味登文山饗食大亨,(02)29301098,,,臺北市文山區羅斯福路五段218巷25號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
318,環保餐廳,麥味登北市大安,(02)27017080,,,臺北市大安區大安路二段134號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
319,環保餐廳,麥味登北市大道,(02)27598668,,,臺北市信義區大道路50號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
320,環保餐廳,麥味登北市仁愛,(02)27037182,,,臺北市大安區仁愛路三段24巷1-6號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
321,環保餐廳,麥味登北市六張犁店,(02)27323011,,,臺北市信義區基隆路二段183號1樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
322,環保餐廳,麥味登北市天秤獅,(02)27589477,,,臺北市信義區光復南路473巷29號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
323,環保餐廳,麥味登北市文山木柵店,(02)86617903,,,臺北市文山區木柵路三段55號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
324,環保餐廳,麥味登北市世貿莊敬店,(02)87861811,,,臺北市信義區莊敬路203號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
325,環保餐廳,麥味登北市台大,(02)23657279,,,臺北市中正區羅斯福路四段118號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
326,環保餐廳,麥味登北市台視店,(02)25795877,,,臺北市松山區八德路三段12巷5弄6號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
327,環保餐廳,麥味登北市民生,(02)27607148,,,臺北市松山區民生東路五段153-5號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
328,環保餐廳,麥味登北市民生延壽店,(02)27476967,,,臺北市松山區延壽街173號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
329,環保餐廳,麥味登北市民權,(02)25506676,,,臺北市大同區民權西路234號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
330,環保餐廳,麥味登北市永春,(02)27220602,,,臺北市信義區忠孝東路五段372巷27弄77-1號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
331,環保餐廳,麥味登北市同德,(02)27855330,,,臺北市南港區同德路54號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
332,環保餐廳,麥味登北市成功,(02)23075752,,,臺北市萬華區萬大路177號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
333,環保餐廳,麥味登北市百勝,(02)27584827,,,臺北市信義區吳興街281巷14號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
334,環保餐廳,麥味登北市西松,(02)85095201,,,臺北市松山區健康路325巷6弄2號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
335,環保餐廳,麥味登北市西門,(02)23717288,,,臺北市萬華區西寧南路24號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
336,環保餐廳,麥味登北市和平,(02)23652299,,,臺北市中正區廈門街75號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
337,環保餐廳,麥味登北市府捷運店,(02)27491801,,,臺北市信義區基隆路1段147巷12號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
338,環保餐廳,麥味登北市忠孝店,(02)23463923,,,臺北市信義區忠孝東路5段524巷6號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
339,環保餐廳,麥味登北市忠順,(02)29399358,,,臺北市文山區忠順街2段25號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
340,環保餐廳,麥味登北市昌吉,(02)25996761,,,臺北市大同區昌吉街27號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
341,環保餐廳,麥味登北市昆陽,(02)27883965,,,臺北市南港區昆陽街94號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
342,環保餐廳,麥味登北市松山,(02)27682899,,,臺北市信義區松山路241號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
343,環保餐廳,麥味登北市松仁,(02)27585197,,,臺北市信義區松仁路232號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
344,環保餐廳,麥味登北市松德,(02)27260169,,,臺北市信義區松德路193號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
345,環保餐廳,麥味登北市長安東,(02)25065763,,,臺北市中山區長安東路二段72號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
346,環保餐廳,麥味登北市長春,(02)25071770,,,臺北市中山區長春路238號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
347,環保餐廳,麥味登北市信義基隆店,(02)27327880,,,臺北市信義區基隆路二段131-2號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
348,環保餐廳,麥味登北市南京三民(togo外賣專門店),(02)27489768,,,臺北市松山區南京東路五段186號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
349,環保餐廳,麥味登北市重慶,(02)25593866,,,臺北市大同區重慶北路一段61號1F,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
350,環保餐廳,麥味登北市神通,(02)25866260,,,臺北市中山區新生北路三段69-1號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
351,環保餐廳,麥味登北市健康店,(02)25148117,,,臺北市松山區健康路15巷13號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
352,環保餐廳,麥味登北市參食,(02)25782800,,,臺北市松山區光復北路60巷19-4號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
353,環保餐廳,麥味登北市國王,(02)25115091,,,臺北市中山區民生東路一段5號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
354,環保餐廳,麥味登北市國王二,(02)25312636,,,臺北市中山區長春路147-2號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
355,環保餐廳,麥味登北市通化,(02)27065066,,,臺北市大安區通安街54號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
356,環保餐廳,麥味登北市敦北,(02)27120158,,,臺北市松山區敦化北路222巷11號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
357,環保餐廳,麥味登北市敦南遠企店,(02)27035003,,,臺北市大安區敦化南路二段63巷5號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
358,環保餐廳,麥味登北市新生店,(02)23919493,,,臺北市中正區忠孝東路二段116號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
359,環保餐廳,麥味登北市新東興,(02)27476080,,,臺北市松山區八德路四段245巷36號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
360,環保餐廳,麥味登北市瑞安,(02)27077551,,,臺北市大安區瑞安街208巷26號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
361,環保餐廳,麥味登北市實踐,(02)25336934,,,臺北市中山區大直街70號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
362,環保餐廳,麥味登北市榮星花園,(02)25082251,,,臺北市中山區五常街85號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
363,環保餐廳,麥味登北市龍江1店,(02)77292550,,,臺北市中山區龍江路244號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
364,環保餐廳,麥味登北投奇岩,(02)28985212,,,臺北市北投區三合街二段463號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
365,環保餐廳,麥味登北投陽明,(02)28220198,,,臺北市北投區立農街二段275號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
366,環保餐廳,麥味登北投實踐,(02)28201888,,,臺北市北投區實踐街62號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
367,環保餐廳,麥味登北門塔城,(02)25522215,,,臺北市大同區塔城街48號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
368,環保餐廳,麥味登台北科大to-go 專門店,(02)87729001,,,臺北市大安區新生南路一段1號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
369,環保餐廳,麥味登台北陽光店,(02)27339595,,,臺北市信義區信安街155號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
370,環保餐廳,麥味登台北萬隆,(02)29356080,,,臺北市文山區羅斯福路五段233號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
371,環保餐廳,麥味登信義福德,(02)27271825,,,臺北市信義區福德街246號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
372,環保餐廳,麥味登南軟園區,(02)27833313,,,臺北市南港區新民街81號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
373,環保餐廳,麥味登景興饗食大亨,(02)29325657,,,臺北市文山區景興路40號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
374,環保餐廳,麥味登萬華雙園,(02)22123484,,,臺北市萬華區雙園街148號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
375,環保餐廳,麥味登萬華寶興,(02)23395976,,,臺北市萬華區寶興街109號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
